genotype,plate,date,temp,food,pheromone,neuron,#,ID,area,mean,mode,min,max,IntDen,Median,RawIntDen,note
N2,,8_10_16,25,OP50,2400,ASI,75,10,1.604,574.987,587,534,614,922.121,576,87973,
N2,,8_10_16,25,OP50,2400,ASI,76,10,1.604,335.732,334,306,375,538.422,334,51367,
N2,,8_10_16,25,OP50,2400,ASI,77,10,1.122,1595.187,1332,1294,1840,1789.096,1611,170685,
N2,,8_10_16,25,OP50,2400,ASI,78,10,1.719,1591.183,1697,1346,1763,2735.283,1600,260954,
N2,,8_10_16,25,OP50,2400,ASI,79,10,1.205,1677.991,1657,1419,1810,2022.674,1689,192969,
N2,,8_10_16,25,OP50,2400,ASI,80,10,0.891,1577.976,1630,1381,1715,1405.911,1589,134128,
mg360,,8_10_16,25,OP50,0,ASI,81,1,1.111,436.142,446,412,456,484.587,437,46231,
mg360,,8_10_16,25,OP50,0,ASI,82,1,1.457,758.129,776,678,816,1104.578,760,105380,
mg360,,8_10_16,25,OP50,0,ASI,83,2,1.174,1093.42,1118,955,1165,1283.64,1101,122463,
mg360,,8_10_16,25,OP50,0,ASI,84,2,1.174,820.821,814,735,872,963.618,829,91932,
mg360,,8_10_16,25,OP50,0,ASI,85,3,1.415,675.415,646,613,757,955.746,670,91181,
mg360,,8_10_16,25,OP50,0,ASI,86,3,0.828,784.342,754,708,852,649.487,785,61963,
mg360,,8_10_16,25,OP50,0,ASI,87,4,1.363,1387.338,1410,1148,1538,1890.445,1409,180354,
mg360,,8_10_16,25,OP50,0,ASI,88,4,0.734,1062.829,1119,967,1160,779.829,1073,74398,
mg360,,8_10_16,25,OP50,0,ASI,89,5,1.876,2133.492,2056,1523,2632,4002.97,2167,381895,
mg360,,8_10_16,25,OP50,0,ASI,90,5,1.52,1405.966,1387,1122,1630,2136.884,1405,203865,
mg360,,8_10_16,25,OP50,0,ASI,91,6,1.132,2406.463,2475,2147,2613,2724.214,2422,259898,
mg360,,8_10_16,25,OP50,0,ASI,92,6,0.891,965.376,1006,833,1052,860.11,971,82057,
mg360,,8_10_16,25,OP50,0,ASI,93,7,0.786,686.44,673,604,736,539.638,689,51483,
mg360,,8_10_16,25,OP50,0,ASI,94,7,1.195,851.377,848,803,895,1017.338,853,97057,
mg360,,8_10_16,25,OP50,0,ASI,95,8,1.593,1538.013,1629,1231,1710,2450.428,1557,233778,
mg360,,8_10_16,25,OP50,0,ASI,96,8,1.258,1299.875,1371,1082,1470,1635.013,1306,155985,
mg360,,8_10_16,25,OP50,0,ASI,97,9,0.933,1245.303,1163,1039,1438,1161.725,1242,110832,
mg360,,8_10_16,25,OP50,0,ASI,98,9,1.887,1644.028,1630,1257,1784,3101.844,1678,295925,
mg360,,8_10_16,25,OP50,0,ASI,99,10,2.998,1776.399,1837,1415,1997,5325.309,1812,508050,
mg360,,8_10_16,25,OP50,0,ASI,100,10,1.771,1556.45,1436,1117,1842,2757.148,1579,263040,
mg360,,8_10_16,25,OP50,600,ASI,101,1,1.059,518.683,487,443,567,549.113,526,52387,
mg360,,8_10_16,25,OP50,600,ASI,102,1,1.122,605,598,548,676,678.543,603,64735,
mg360,,8_10_16,25,OP50,600,ASI,103,2,0.755,446.583,437,415,496,337.034,446,32154,
mg360,,8_10_16,25,OP50,600,ASI,104,2,1.31,508.472,508,457,548,666.217,509,63559,
mg360,,8_10_16,25,OP50,600,ASI,105,3,1.583,339.146,336,308,365,536.787,340,51211,
mg360,,8_10_16,25,OP50,600,ASI,106,3,0.985,566.723,562,530,614,558.39,562,53272,
mg360,,8_10_16,25,OP50,600,ASI,107,4,0.943,399.211,399,364,441,376.603,402,35929,
mg360,,8_10_16,25,OP50,600,ASI,108,4,1.373,424.198,419,391,458,582.477,423,55570,
mg360,,8_10_16,25,OP50,600,ASI,109,5,0.828,311.532,312,289,337,257.969,311,24611,
mg360,,8_10_16,25,OP50,600,ASI,110,5,0.922,446.932,449,424,470,412.252,448,39330,
mg360,,8_10_16,25,OP50,600,ASI,111,6,0.807,284.753,283,270,299,229.825,285,21926,
mg360,,8_10_16,25,OP50,600,ASI,112,6,0.566,289.556,291,276,307,163.894,291,15636,
mg360,,8_10_16,25,OP50,600,ASI,113,7,0.88,430.143,413,364,484,378.731,431,36132,
mg360,,8_10_16,25,OP50,600,ASI,114,7,1.331,615.882,602,584,655,819.86,615,78217,
mg360,,8_10_16,25,OP50,600,ASI,115,8,0.786,878.347,905,748,989,690.503,887,65876,
mg360,,8_10_16,25,OP50,600,ASI,116,8,0.765,425.74,424,403,448,325.766,426,31079,
mg360,,8_10_16,25,OP50,600,ASI,117,9,0.88,661.786,670,587,712,582.687,669,55590,
mg360,,8_10_16,25,OP50,600,ASI,118,9,1.446,651.159,620,563,730,941.9,659,89860,
mg360,,8_10_16,25,OP50,600,ASI,119,10,1.247,291.311,294,273,314,363.364,292,34666,
mg360,,8_10_16,25,OP50,600,ASI,120,10,1.342,355.703,360,333,377,477.239,357,45530,
mg360,,8_10_16,25,OP50,1200,ASI,121,1,1.258,680.967,699,581,727,856.536,686,81716,
mg360,,8_10_16,25,OP50,1200,ASI,122,1,1.31,654.696,670,567,704,857.804,660,81837,
mg360,,8_10_16,25,OP50,1200,ASI,123,2,0.797,1225.25,1237,1144,1288,976.06,1232,93119,
mg360,,8_10_16,25,OP50,1200,ASI,124,2,0.608,456.017,465,440,473,277.235,456,26449,
mg360,,8_10_16,25,OP50,1200,ASI,125,3,0.828,582.253,580,549,610,482.145,582,45998,
mg360,,8_10_16,25,OP50,1200,ASI,126,3,0.66,437.746,421,398,489,289.069,434,27578,
mg360,,8_10_16,25,OP50,1200,ASI,127,4,0.702,932.94,930,890,967,655.19,932,62507,
mg360,,8_10_16,25,OP50,1200,ASI,128,4,0.472,395.467,392,381,410,186.535,395,17796,
mg360,,8_10_16,25,OP50,1200,ASI,129,5,0.849,487.284,477,450,516,413.719,490,39470,
mg360,,8_10_16,25,OP50,1200,ASI,130,5,1.017,521.856,515,469,558,530.592,523,50620,
mg360,,8_10_16,25,OP50,1200,ASI,131,6,1.247,1096.84,1144,928,1222,1368.134,1110,130524,
mg360,,8_10_16,25,OP50,1200,ASI,132,6,1.698,1045.71,1078,887,1147,1775.679,1052,169405,
mg360,,8_10_16,25,OP50,1200,ASI,133,7,1.184,601.106,603,520,674,711.98,601,67925,
mg360,,8_10_16,25,OP50,1200,ASI,134,7,1.048,653.66,664,592,693,685.157,654,65366,
mg360,,8_10_16,25,OP50,1200,ASI,135,8,1.143,357.615,362,323,387,408.583,359,38980,
mg360,,8_10_16,25,OP50,1200,ASI,136,8,0.975,317.591,322,298,338,309.592,318,29536,
mg360,,8_10_16,25,OP50,1200,ASI,137,9,1.205,463.017,444,406,509,558.128,461,53247,
mg360,,8_10_16,25,OP50,1200,ASI,138,9,0.996,579.126,582,535,630,576.68,578,55017,
mg360,,8_10_16,25,OP50,1200,ASI,139,10,0.734,960.814,951,891,1006,704.978,964,67257,
mg360,,8_10_16,25,OP50,2400,ASI,140,10,1.237,877.305,899,772,970,1085.103,884,103522,
mg360,,8_10_16,25,OP50,2400,ASI,141,1,1.426,547.853,528,485,605,780.982,550,74508,
mg360,,8_10_16,25,OP50,2400,ASI,142,1,0.828,527.127,534,484,547,436.496,530,41643,
mg360,,8_10_16,25,OP50,2400,ASI,143,2,0.744,989.62,1028,938,1038,736.487,989,70263,
mg360,,8_10_16,25,OP50,2400,ASI,144,2,0.786,735.307,742,644,823,578.054,736,55148,
mg360,,8_10_16,25,OP50,2400,ASI,145,3,0.807,314.987,311,286,364,254.227,313,24254,
mg360,,8_10_16,25,OP50,2400,ASI,146,3,0.755,575.514,570,539,612,434.337,575,41437,
mg360,,8_10_16,25,OP50,2400,ASI,147,4,1.111,1110.038,1105,1007,1189,1233.338,1118,117664,
mg360,,8_10_16,25,OP50,2400,ASI,148,4,1.268,1474.818,1477,1194,1670,1870.519,1501,178453,
mg360,,8_10_16,25,OP50,2400,ASI,149,5,1.163,582.45,571,540,613,677.673,584,64652,
mg360,,8_10_16,25,OP50,2400,ASI,150,5,0.807,535.299,491,447,601,432.041,532,41218,
mg360,,8_10_16,25,OP50,2400,ASI,151,6,1.415,692.081,729,549,774,979.331,699,93431,
mg360,,8_10_16,25,OP50,2400,ASI,152,6,1.436,494.606,439,400,598,710.261,497,67761,
mg360,,8_10_16,25,OP50,2400,ASI,153,7,1.562,588.255,586,540,644,918.735,586,87650,
mg360,,8_10_16,25,OP50,2400,ASI,154,7,1.3,486.032,479,428,547,631.721,487,60268,
mg360,,8_10_16,25,OP50,2400,ASI,155,8,0.933,957.921,960,830,1027,893.631,961,85255,
mg360,,8_10_16,25,OP50,2400,ASI,156,8,0.818,571.782,581,524,611,467.48,573,44599,
mg360,,8_10_16,25,OP50,2400,ASI,157,9,0.912,592.264,597,544,650,540.099,594,51527,
mg360,,8_10_16,25,OP50,2400,ASI,158,9,0.639,611.492,616,574,645,390.984,614,37301,
mg360,,8_10_16,25,OP50,2400,ASI,159,10,0.618,360.797,353,336,376,223.127,361,21287,
mg360,,8_10_16,25,OP50,2400,ASI,160,10,1.122,333.981,335,311,358,374.58,335,35736,
N2,,6_30_16,25,OP50,0,ASI,1,1,0.608,1346.517,1392,1217,1457,818.612,1345,78098,
N2,,6_30_16,25,OP50,0,ASI,2,1,0.765,1771.945,1789,1641,1889,1355.849,1766,129352,
N2,,6_30_16,25,OP50,0,ASI,3,2,0.671,1852.109,1903,1690,2003,1242.467,1870,118535,
N2,,6_30_16,25,OP50,0,ASI,4,2,0.577,1479.982,1372,1348,1607,853.213,1484,81399,
N2,,6_30_16,25,OP50,0,ASI,5,3,0.514,1915.347,1897,1753,1993,983.743,1923,93852,
N2,,6_30_16,25,OP50,0,ASI,6,3,1.038,1855.949,1742,1658,2049,1925.926,1878,183739,
N2,,6_30_16,25,OP50,0,ASI,7,4,1.237,855.305,878,683,926,1057.892,866,100926,
N2,,6_30_16,25,OP50,0,ASI,8,4,0.734,917.271,898,866,990,673.03,919,64209,
N2,,6_30_16,25,OP50,0,ASI,9,5,1.31,2528.856,2397,2322,2782,3313.389,2505,316107,
N2,,6_30_16,25,OP50,0,ASI,10,5,1.027,2957.694,2850,2517,3215,3038.209,2986,289854,
N2,,6_30_16,25,OP50,0,ASI,11,6,1.184,432.885,424,397,471,512.731,432,48916,
N2,,6_30_16,25,OP50,0,ASI,12,6,1.08,467.67,489,405,526,504.911,474,48170,
N2,,6_30_16,25,OP50,0,ASI,13,7,0.818,2389.5,2201,2135,2610,1953.619,2392,186381,
N2,,6_30_16,25,OP50,0,ASI,14,7,0.304,2704.793,2740,2589,2849,822.187,2702,78439,
N2,,6_30_16,25,OP50,0,ASI,15,8,0.231,1702.455,1677,1658,1762,392.588,1706,37454,
N2,,6_30_16,25,OP50,0,ASI,16,8,0.451,541.279,497,497,575,243.965,545,23275,
N2,,6_30_16,25,OP50,0,ASI,17,9,0.86,1029.463,988,922,1118,884.837,1029,84416,
N2,,6_30_16,25,OP50,0,ASI,18,9,0.755,1726.986,1701,1550,1889,1303.346,1736,124343,
N2,,6_30_16,25,OP50,0,ASI,19,10,1.027,470.194,453,437,520,482.994,467,46079,
N2,,6_30_16,25,OP50,0,ASI,20,10,0.66,295.143,290,278,312,194.9,293,18594,
N2,,6_30_16,25,OP50,0,ASI,21,11,0.618,1270.085,1229,1162,1352,785.458,1273,74935,
N2,,6_30_16,25,OP50,0,ASI,22,11,1.006,1390.031,1430,1238,1511,1398.731,1398,133443,
N2,,6_30_16,25,OP50,0,ASI,23,12,0.252,1035.708,992,992,1096,260.548,1047,24857,
N2,,6_30_16,25,OP50,0,ASI,24,12,0.293,430.393,415,410,450,126.317,431,12051,
N2,,6_30_16,25,OP50,0,ASI,25,13,0.891,966.824,973,875,1113,861.399,960,82180,
N2,,6_30_16,25,OP50,0,ASI,26,13,0.577,696.509,692,600,816,401.539,692,38308,
N2,,6_30_16,25,OP50,0,ASI,27,14,0.608,652.69,639,607,688,396.801,654,37856,
N2,,6_30_16,25,OP50,0,ASI,28,14,0.818,1430.885,1424,1215,1576,1169.87,1450,111609,
N2,,6_30_16,25,OP50,0,ASI,29,15,0.388,2199.351,1752,1752,2545,852.972,2223,81376,
N2,,6_30_16,25,OP50,0,ASI,30,15,0.409,1853.051,1665,1653,2041,757.513,1844,72269,
N2,,6_30_16,25,OP50,0,ASI,31,16,0.912,587.172,618,526,646,535.455,592,51084,
N2,,6_30_16,25,OP50,0,ASI,32,16,0.482,780.13,825,709,847,376.152,785,35886,
mg360,,6_30_16,25,OP50,0,ASI,33,1,1.3,694.226,680,639,748,902.32,695,86084,
