genotype,day,date,temp,food,pheromone,neuron,cell.ID,ID,area,mean,mode,min,max,IntDen,Median,RawIntDen,notes,exp_time,rescaledASI,medianASI,medianASJ,rescaledASJ
N2,4,10_16_15,25,OP50,0,ASI,230,10,2.002,1036.506,837,808,1254,2075.211,1018,79811,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASI,231,10,0.962,1260.784,1223,1173,1324,1212.947,1261,46649,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASJ,232,10,0.806,574.065,563,553,600,462.724,572,17796,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASJ,233,10,0.702,750,749,677,803,526.532,750,20250,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,234,1,1.768,2442.691,2413,2113,2611,4318.938,2456,166103,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,235,1,1.144,3684.159,3855,3309,4002,4214.931,3688,162103,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,236,1,1.144,2853.364,2766,2708,2961,3264.444,2873,125548,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,237,1,1.222,1278.872,1272,1137,1360,1562.876,1292,60107,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,238,2,1.482,4087.93,4095,3692,4095,6058.676,4095,233012,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,239,2,0.91,2007.629,1640,1640,2188,1827.052,2038,70267,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,240,2,0.78,1730.5,1808,1563,1827,1349.871,1752,51915,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,241,3,2.132,2217.427,2349,1569,2460,4727.838,2255,181829,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,242,3,1.872,2407.875,2118,2118,2559,4507.813,2408,173367,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,243,3,1.3,1205.54,1222,1104,1251,1567.296,1215,60277,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,244,3,1.95,1005.107,986,832,1093,1960.076,1018,75383,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,245,4,2.938,4089.159,4095,3795,4095,12014.672,4095,462075,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,246,4,2.444,4045.128,4095,3454,4095,9886.886,4095,380242,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,247,4,1.404,1178.481,1218,1027,1261,1654.687,1194,63638,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,248,4,1.248,1346.875,1363,1262,1435,1681.001,1355,64650,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,249,5,1.482,3422.088,3180,2601,3768,5071.839,3492,195059,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,250,5,1.196,3493.087,3617,2719,3803,4177.983,3574,160682,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,251,5,0.806,2138.968,2089,2058,2229,1724.112,2140,66308,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,252,5,1.924,1177.676,1228,1041,1270,2265.984,1193,87148,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,253,6,0.806,2091.645,2083,1796,2204,1685.967,2100,64841,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,254,6,1.274,1848.408,1614,1614,2034,2355.014,1859,90572,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,255,6,0.52,1760.65,1690,1690,1833,915.593,1766,35213,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,256,6,1.196,1260.848,1220,1108,1352,1508.065,1264,57999,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,257,7,1.898,2382.233,2185,1935,2611,4521.75,2416,173903,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,258,7,2.626,1636.713,1713,1366,1787,4298.266,1652,165308,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,259,7,0.728,1454,1423,1253,1570,1058.576,1483,40712,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,260,7,1.17,1547.644,1533,1388,1623,1810.853,1548,69644,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,261,8,0.962,2741.703,2477,2313,3025,2637.677,2773,101443,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,262,8,1.482,3637.579,3514,3160,3931,5391.216,3666,207342,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,263,8,1.066,1953.463,1897,1875,2041,2082.517,1951,80092,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,264,8,1.196,1565.978,1557,1469,1632,1873.023,1570,72035,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,265,9,0.936,2405.75,2593,2043,2599,2251.917,2437,86607,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,266,9,0.78,1749.333,1659,1659,1834,1364.562,1756,52480,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,267,9,1.326,1083.686,1040,1008,1150,1437.054,1084,55268,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,268,9,0.572,930.636,928,867,990,532.356,937,20474,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,269,10,1.144,1905.909,1941,1823,1982,2180.491,1904,83860,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASI,270,10,1.768,2347.632,2498,1815,2726,4150.863,2374,159639,HB101 contaminated,,,,,
N2,4,10_16_15,25,HB101,0,ASJ,271,10,0.624,1360.25,1358,1291,1430,848.847,1364,32646,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,272,1,0.884,593.235,554,544,655,524.452,598,20170,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,273,1,0.624,579.208,582,549,604,361.448,582,13901,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,274,1,0.78,500.333,494,459,527,390.283,503,15010,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,275,1,1.014,791.744,756,723,832,802.876,796,30878,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,276,2,1.742,799.91,864,660,883,1393.528,810,53594,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,277,2,0.624,1142.917,1108,1055,1214,713.223,1141,27430,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,278,2,0.832,513.406,495,487,535,427.18,514,16429,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,279,3,3.224,1953.194,2047,1292,2408,6297.474,1999,242196,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,280,3,1.014,1436.538,1439,1200,1571,1456.738,1456,56025,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,281,3,0.962,1504.811,1493,1402,1583,1447.715,1499,55678,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,282,3,1.456,1306,1341,1190,1387,1901.65,1312,73136,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,283,4,1.664,2679.844,2774,2268,2872,4459.528,2711,171510,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,284,4,2.808,1996.352,2155,1588,2245,5606.093,2025,215606,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,285,4,1.326,1242.706,1257,1006,1341,1647.927,1265,63378,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,286,4,1.326,1621.412,1662,1441,1739,2150.121,1640,82692,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,287,5,1.56,1531.4,1746,1004,1828,2389.128,1625,91884,HB101 contaminated,,,,,
